city,datetime,temp,humidity,pressure,wind_speed,wind_bearing,visibility,clouds,lat,lon
Hanoi,2026-03-18 15:00:00,22.92,84,1014,4.44,136,10000,18,21.0245,105.8412
Hanoi,2026-03-18 18:00:00,22.43,87,1014,2.82,115,10000,18,21.0245,105.8412
Hanoi,2026-03-18 21:00:00,21.96,88,1013,2.46,113,10000,52,21.0245,105.8412
Hanoi,2026-03-19 00:00:00,22.2,87,1014,2.88,117,10000,86,21.0245,105.8412
Hanoi,2026-03-19 03:00:00,23.08,74,1015,3.53,147,10000,99,21.0245,105.8412
Hanoi,2026-03-19 06:00:00,25.79,60,1012,4.5,169,10000,99,21.0245,105.8412
Hanoi,2026-03-19 09:00:00,27.48,57,1008,5.42,148,10000,98,21.0245,105.8412
Hanoi,2026-03-19 12:00:00,24.16,70,1010,5.44,142,10000,93,21.0245,105.8412
Hanoi,2026-03-19 15:00:00,22.35,85,1012,4.12,136,10000,100,21.0245,105.8412
Hanoi,2026-03-19 18:00:00,21.38,93,1011,3.59,140,10000,90,21.0245,105.8412
Hanoi,2026-03-19 21:00:00,20.78,96,1010,2.77,133,10000,36,21.0245,105.8412
Hanoi,2026-03-20 00:00:00,21.56,93,1012,2.77,128,10000,49,21.0245,105.8412
Hanoi,2026-03-20 03:00:00,27.1,59,1013,5.64,161,10000,76,21.0245,105.8412
Hanoi,2026-03-20 06:00:00,26.94,61,1011,4.52,153,10000,88,21.0245,105.8412
Hanoi,2026-03-20 09:00:00,27.29,62,1010,5.86,153,10000,89,21.0245,105.8412
Hanoi,2026-03-20 12:00:00,24.42,74,1011,4.98,133,10000,86,21.0245,105.8412
Hanoi,2026-03-20 15:00:00,22.94,84,1014,3.72,142,10000,68,21.0245,105.8412
Hanoi,2026-03-20 18:00:00,22.37,84,1013,2.94,129,10000,82,21.0245,105.8412
Hanoi,2026-03-20 21:00:00,21.95,85,1012,2.94,116,10000,100,21.0245,105.8412
Hanoi,2026-03-21 00:00:00,22.2,84,1014,2.27,115,10000,100,21.0245,105.8412
Hanoi,2026-03-21 03:00:00,23.9,77,1016,2.93,116,10000,100,21.0245,105.8412
Hanoi,2026-03-21 06:00:00,24.59,77,1013,3.73,147,10000,100,21.0245,105.8412
Hanoi,2026-03-21 09:00:00,24.67,74,1011,4.44,148,10000,100,21.0245,105.8412
Hanoi,2026-03-21 12:00:00,23.9,76,1012,3.98,143,10000,98,21.0245,105.8412
Hanoi,2026-03-21 15:00:00,22.3,83,1014,3.5,142,10000,95,21.0245,105.8412
Hanoi,2026-03-21 18:00:00,22.06,87,1013,2.44,132,10000,95,21.0245,105.8412
Hanoi,2026-03-21 21:00:00,21.83,89,1012,2.4,121,10000,100,21.0245,105.8412
