city,datetime,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds
Hanoi,2026-03-18 12:00:00,25.0,25.51,24.04,25.0,1012,75,5.47,45
Hanoi,2026-03-18 15:00:00,24.22,24.73,22.66,24.22,1012,78,4.44,36
Hanoi,2026-03-18 18:00:00,22.53,23.11,21.29,22.53,1013,87,2.82,26
Hanoi,2026-03-18 21:00:00,21.48,22.03,21.48,21.48,1012,90,2.46,69
Hanoi,2026-03-19 00:00:00,22.2,22.75,22.2,22.2,1014,87,2.88,86
Hanoi,2026-03-19 03:00:00,23.08,23.38,23.08,23.08,1015,74,3.53,99
Hanoi,2026-03-19 06:00:00,25.79,25.99,25.79,25.79,1012,60,4.5,99
Hanoi,2026-03-19 09:00:00,27.51,28.49,27.51,27.51,1008,57,5.64,100
Hanoi,2026-03-19 12:00:00,24.26,24.52,24.26,24.26,1010,68,5.72,98
Hanoi,2026-03-19 15:00:00,22.44,22.91,22.44,22.44,1012,83,4.16,77
Hanoi,2026-03-19 18:00:00,21.98,22.58,21.98,21.98,1011,90,3.88,80
Hanoi,2026-03-19 21:00:00,20.95,21.61,20.95,20.95,1010,96,2.98,38
Hanoi,2026-03-20 00:00:00,21.86,22.5,21.86,21.86,1012,92,2.85,66
Hanoi,2026-03-20 03:00:00,25.85,26.21,25.85,25.85,1013,66,4.96,98
Hanoi,2026-03-20 06:00:00,25.04,25.48,25.04,25.04,1011,72,4.23,99
Hanoi,2026-03-20 09:00:00,25.11,25.61,25.11,25.11,1010,74,3.8,100
Hanoi,2026-03-20 12:00:00,24.03,24.5,24.03,24.03,1012,77,4.44,100
Hanoi,2026-03-20 15:00:00,23.11,23.64,23.11,23.11,1014,83,3.46,100
Hanoi,2026-03-20 18:00:00,21.73,22.28,21.73,21.73,1013,89,3.32,97
Hanoi,2026-03-20 21:00:00,21.3,21.76,21.3,21.3,1012,87,2.73,100
Hanoi,2026-03-21 00:00:00,21.64,22.05,21.64,21.64,1014,84,2.76,100
Hanoi,2026-03-21 03:00:00,22.87,23.25,22.87,22.87,1016,78,2.6,100
Hanoi,2026-03-21 06:00:00,23.71,24.12,23.71,23.71,1014,76,2.5,100
Hanoi,2026-03-21 09:00:00,23.23,23.78,23.23,23.23,1012,83,2.4,100
Hanoi,2026-03-21 12:00:00,23.1,23.61,23.1,23.1,1013,82,2.27,100
Hanoi,2026-03-21 15:00:00,22.4,22.86,22.4,22.4,1014,83,3.55,100
Hanoi,2026-03-21 18:00:00,22.0,22.53,22.0,22.0,1013,87,2.83,97
Hanoi,2026-03-21 21:00:00,21.38,21.95,21.38,21.38,1012,91,2.98,96
Hanoi,2026-03-22 00:00:00,21.47,22.1,21.47,21.47,1014,93,2.18,96
Hanoi,2026-03-22 03:00:00,25.49,26.0,25.49,25.49,1015,73,3.74,100
Hanoi,2026-03-22 06:00:00,26.59,26.59,26.59,26.59,1012,66,5.35,100
Hanoi,2026-03-22 09:00:00,27.78,29.13,27.78,27.78,1010,60,6.13,80
Hanoi,2026-03-22 12:00:00,24.08,24.5,24.08,24.08,1011,75,5.12,73
Hanoi,2026-03-22 15:00:00,22.2,22.75,22.2,22.2,1013,87,3.77,0
Hanoi,2026-03-22 18:00:00,22.01,22.59,22.01,22.01,1011,89,3.83,38
Hanoi,2026-03-22 21:00:00,21.65,22.25,21.65,21.65,1010,91,3.58,95
Hanoi,2026-03-23 00:00:00,22.0,22.61,22.0,22.0,1012,90,4.03,96
Hanoi,2026-03-23 03:00:00,25.66,26.08,25.66,25.66,1014,69,4.82,95
Hanoi,2026-03-23 06:00:00,26.27,26.27,26.27,26.27,1011,66,4.76,98
Hanoi,2026-03-23 09:00:00,28.29,29.65,28.29,28.29,1009,58,5.33,83
Ho Chi Minh City,2026-03-18 12:00:00,27.82,30.32,27.46,27.82,1010,70,6.17,0
Ho Chi Minh City,2026-03-18 15:00:00,27.23,29.16,26.04,27.23,1011,69,5.51,0
Ho Chi Minh City,2026-03-18 18:00:00,25.93,26.51,24.99,25.93,1011,74,4.7,0
Ho Chi Minh City,2026-03-18 21:00:00,24.69,25.25,24.69,24.69,1011,78,4.15,2
Ho Chi Minh City,2026-03-19 00:00:00,25.09,25.59,25.09,25.09,1013,74,3.83,35
Ho Chi Minh City,2026-03-19 03:00:00,29.95,30.12,29.95,29.95,1013,44,2.92,12
Ho Chi Minh City,2026-03-19 06:00:00,33.22,32.59,33.22,33.22,1010,32,1.9,10
Ho Chi Minh City,2026-03-19 09:00:00,31.84,32.22,31.84,31.84,1008,41,7.01,4
Ho Chi Minh City,2026-03-19 12:00:00,26.41,26.41,26.41,26.41,1010,66,6.47,2
Ho Chi Minh City,2026-03-19 15:00:00,25.6,26.04,25.6,25.6,1012,70,5.44,1
Ho Chi Minh City,2026-03-19 18:00:00,24.92,25.5,24.92,24.92,1011,78,3.91,3
Ho Chi Minh City,2026-03-19 21:00:00,24.36,24.97,24.36,24.36,1011,81,2.78,6
Ho Chi Minh City,2026-03-20 00:00:00,25.17,25.67,25.17,25.17,1013,74,4.33,16
Ho Chi Minh City,2026-03-20 03:00:00,30.9,31.72,30.9,30.9,1013,46,3.74,48
Ho Chi Minh City,2026-03-20 06:00:00,35.34,36.13,35.34,35.34,1009,34,3.47,34
Ho Chi Minh City,2026-03-20 09:00:00,31.72,32.79,31.72,31.72,1008,45,7.07,30
Ho Chi Minh City,2026-03-20 12:00:00,27.01,28.32,27.01,27.01,1010,63,6.03,18
Ho Chi Minh City,2026-03-20 15:00:00,25.99,25.99,25.99,25.99,1012,70,4.21,16
